time;12:47:33
100859.22;18.84;290
100859.09;18.82;291
100858.98;18.80;292
100859.25;18.79;293
100859.12;18.78;294
100859.39;18.76;295
100859.66;18.75;296
100859.91;18.74;297
100860.17;18.73;298
100860.04;18.71;299
100860.31;18.70;300
100860.20;18.68;301
100860.08;18.67;302
100859.64;18.66;303
100860.15;18.63;304
100860.09;18.62;305
100860.70;18.61;306
100860.64;18.60;307
100860.55;18.59;308
100860.88;18.58;309
100860.08;18.57;310
100860.36;18.57;311
100860.34;18.56;312
100860.63;18.55;313
100860.59;18.55;314
100860.90;18.54;315
100860.86;18.54;316
100860.44;18.53;317
100860.75;18.52;318
100859.96;18.51;319
100860.25;18.50;320
100860.56;18.50;321
100860.14;18.49;322
100860.80;18.48;323
100860.03;18.47;324
100860.32;18.47;325
100860.26;18.46;326
100860.17;18.45;327
100860.45;18.44;328
100860.03;18.43;329
100860.70;18.42;330
100860.27;18.42;331
100860.59;18.41;332
100860.55;18.40;333
100860.83;18.40;334
100861.14;18.39;335
100860.72;18.38;336
100860.30;18.37;337
100860.62;18.37;338
100860.20;18.36;339
100860.48;18.35;340
100860.42;18.34;341
100860.33;18.33;342
100860.23;18.32;343
100860.12;18.30;344
100860.36;18.29;345
100860.25;18.27;346
100860.52;18.26;347
100860.74;18.24;348
100861.30;18.22;349
100861.47;18.20;350
100861.64;18.18;351
100862.16;18.15;352
100861.95;18.13;353
100861.75;18.10;354
100861.93;18.08;355
100861.78;18.06;356
100862.00;18.04;357
100862.22;18.02;358
100862.77;18.00;359
100862.94;17.98;360
100863.12;17.96;361
100863.30;17.94;362
100862.77;17.91;363
100863.31;17.89;364
100863.16;17.87;365
100862.67;17.86;366
100862.89;17.84;367
100862.78;17.82;368
100863.35;17.81;369
100863.24;17.79;370
100863.50;17.78;371
100863.74;17.77;372
100862.92;17.75;373
100862.47;17.74;374
100863.10;17.73;375
100863.37;17.72;376
100863.27;17.71;377
100863.18;17.70;378
100863.81;17.69;379
100863.38;17.68;380
100863.29;17.67;381
100863.55;17.65;382
100863.46;17.64;383
100863.40;17.63;384
100862.60;17.62;385
100862.88;17.61;386
100862.77;17.60;387
100862.36;17.59;388
100862.66;17.58;389
100863.31;17.58;390
100862.90;17.57;391
100862.50;17.56;392
100862.78;17.56;393
100862.37;17.55;394
100862.67;17.54;395
100862.25;17.53;396
100862.91;17.53;397
100862.89;17.52;398
100863.22;17.52;399
100863.17;17.52;400
100862.42;17.51;401
100862.03;17.50;402
100861.98;17.50;403
100862.23;17.49;404
100862.89;17.49;405
100862.50;17.48;406
100862.45;17.47;407
100862.41;17.47;408
100862.73;17.47;409
100862.02;17.46;410
100862.34;17.46;411
100861.97;17.46;412
100862.30;17.45;413
100862.62;17.45;414
100862.25;17.45;415
100862.25;17.45;416
100862.58;17.45;417
100862.20;17.44;418
100862.20;17.44;419
100861.86;17.44;420
100861.86;17.44;421
100861.48;17.44;422
100862.19;17.44;423
100862.19;17.44;424
100862.19;17.44;425
100861.48;17.44;426
100861.48;17.44;427
100862.19;17.44;428
100861.81;17.44;429
100861.81;17.44;430
100862.14;17.43;431
