time;10:32:31 
101529.30;22.22;290
101529.65;22.22;291
101529.83;22.22;292
101528.77;22.22;293
101529.30;22.22;294
101529.69;22.22;295
101529.69;22.22;296
101529.52;22.22;297
101528.98;22.22;298
101529.16;22.22;299
101529.16;22.22;300
101529.52;22.22;301
101528.98;22.22;302
101529.52;22.22;303
101530.22;22.22;304
101530.22;22.22;305
101530.62;22.23;306
101530.80;22.23;307
101530.44;22.23;308
101530.97;22.23;309
101531.33;22.23;310
101530.75;22.22;311
101530.40;22.22;312
101529.30;22.22;313
101528.77;22.22;314
101528.59;22.22;315
101528.94;22.22;316
101529.87;22.22;317
101530.92;22.22;318
101530.58;22.22;319
101530.22;22.22;320
101529.16;22.22;321
101528.98;22.22;322
101529.16;22.22;323
101529.34;22.22;324
101529.16;22.22;325
101528.81;22.22;326
101529.16;22.22;327
101527.70;22.22;328
101527.70;22.22;329
101529.34;22.22;330
101528.77;22.22;331
101529.12;22.22;332
101529.83;22.22;333
101530.40;22.22;334
101529.65;22.22;335
101529.65;22.22;336
101529.12;22.22;337
101529.83;22.22;338
101530.75;22.22;339
101530.58;22.22;340
101530.22;22.22;341
101530.40;22.22;342
101530.40;22.22;343
101530.22;22.22;344
101531.15;22.23;345
101531.15;22.23;346
101531.55;22.23;347
101530.80;22.23;348
101530.97;22.23;349
101530.09;22.23;350
101530.31;22.23;351
101531.02;22.23;352
101531.02;22.23;353
101530.84;22.23;354
101531.41;22.24;355
101531.05;22.24;356
101530.48;22.23;357
101531.41;22.24;358
101530.52;22.24;359
101529.95;22.23;360
101529.77;22.23;361
101529.77;22.23;362
101529.95;22.23;363
101530.12;22.23;364
101528.84;22.23;365
101529.77;22.23;366
101529.07;22.23;367
101529.07;22.23;368
101528.89;22.23;369
101529.59;22.23;370
101530.00;22.24;371
101529.82;22.24;372
101529.28;22.24;373
101528.94;22.24;374
101528.94;22.24;375
101528.76;22.24;376
101529.28;22.24;377
101529.28;22.24;378
101529.47;22.24;379
101528.89;22.23;380
101529.42;22.23;381
101529.91;22.23;382
101530.27;22.23;383
101530.09;22.23;384
101530.62;22.23;385
101530.80;22.23;386
101530.05;22.22;387
101531.33;22.23;388
101530.80;22.23;389
101529.73;22.23;390
101529.91;22.23;391
101530.62;22.23;392
101530.58;22.22;393
101530.00;22.22;394
101529.65;22.22;395
101530.00;22.22;396
101530.36;22.22;397
101530.16;22.21;398
101529.77;22.21;399
101530.12;22.21;400
101530.44;22.20;401
101530.03;22.20;402
101529.14;22.19;403
101529.84;22.19;404
101529.27;22.19;405
101530.34;22.19;406
101530.69;22.19;407
101529.06;22.18;408
101528.12;22.18;409
101528.31;22.18;410
101529.02;22.18;411
101528.30;22.17;412
101529.00;22.17;413
101528.61;22.17;414
101528.95;22.17;415
101530.02;22.17;416
101530.02;22.17;417
101529.27;22.16;418
101530.16;22.16;419
101529.94;22.16;420
101531.00;22.16;421
101530.45;22.15;422
101530.80;22.15;423
101529.88;22.15;424
101530.41;22.15;425
101530.41;22.15;426
101530.77;22.15;427
101529.84;22.14;428
101530.37;22.14;429
101531.29;22.15;430
101530.59;22.15;431
101529.70;22.15;432
101528.64;22.15;433
101528.64;22.15;434
101529.22;22.15;435
101529.92;22.15;436
101529.92;22.15;437
101531.34;22.15;438
101530.80;22.15;439
101530.45;22.15;440
101530.98;22.16;441
101531.00;22.16;442
101531.00;22.16;443
101530.28;22.16;444
101529.76;22.16;445
101529.58;22.16;446
101529.94;22.16;447
101529.76;22.16;448
101530.11;22.16;449
