time;15:49:50
100892.09;22.20;290
100891.72;22.20;291
100891.02;22.20;292
100889.96;22.19;293
100889.96;22.19;294
100889.59;22.19;295
100889.22;22.19;296
100889.22;22.19;297
100888.51;22.19;298
100888.14;22.19;299
100888.14;22.19;300
100887.06;22.18;301
100887.06;22.18;302
100887.06;22.18;303
100885.98;22.18;304
100885.98;22.18;305
100885.98;22.18;306
100885.98;22.18;307
100885.61;22.18;308
100884.91;22.18;309
100884.53;22.18;310
100884.53;22.18;311
100883.82;22.18;312
100883.48;22.17;313
100882.77;22.17;314
100882.40;22.17;315
100882.40;22.17;316
100881.69;22.17;317
100881.69;22.17;318
100881.31;22.17;319
100880.61;22.17;320
100880.24;22.17;321
100879.53;22.17;322
100879.16;22.16;323
100879.16;22.16;324
100878.08;22.16;325
100877.38;22.16;326
100877.38;22.16;327
100876.30;22.16;328
100876.30;22.16;329
100876.30;22.16;330
100875.22;22.16;331
100875.22;22.16;332
100874.14;22.15;333
100874.14;22.15;334
100874.14;22.15;335
100873.09;22.15;336
100873.09;22.15;337
100873.09;22.15;338
100872.72;22.15;339
100872.72;22.15;340
100872.01;22.15;341
100872.01;22.15;342
100871.63;22.15;343
100871.63;22.15;344
100870.93;22.15;345
100870.56;22.14;346
100869.84;22.14;347
100869.84;22.14;348
100869.84;22.14;349
100868.77;22.14;350
100868.77;22.14;351
100868.41;22.14;352
100867.69;22.14;353
100866.62;22.14;354
100866.62;22.14;355
100865.91;22.14;356
100865.53;22.13;357
100864.83;22.13;358
100864.83;22.13;359
100863.78;22.13;360
100863.07;22.13;361
100862.36;22.13;362
100862.36;22.13;363
100861.99;22.13;364
100861.28;22.13;365
100861.28;22.13;366
100860.20;22.13;367
100859.50;22.13;368
100859.50;22.13;369
100858.42;22.12;370
100857.72;22.12;371
100857.72;22.12;372
100856.63;22.12;373
100855.93;22.12;374
100854.52;22.12;375
100853.81;22.12;376
100852.73;22.12;377
100851.31;22.12;378
100850.61;22.12;379
100849.53;22.12;380
100848.82;22.12;381
100848.82;22.12;382
100847.41;22.12;383
100847.41;22.12;384
100846.33;22.11;385
100846.33;22.11;386
100845.62;22.11;387
100845.62;22.11;388
100844.91;22.11;389
100844.91;22.11;390
100844.54;22.11;391
100844.54;22.11;392
100844.54;22.11;393
100844.20;22.11;394
100844.20;22.11;395
100843.12;22.11;396
100843.83;22.11;397
100843.12;22.11;398
100842.75;22.10;399
100842.04;22.10;400
100842.04;22.10;401
100841.34;22.10;402
100841.67;22.10;403
100840.96;22.10;404
100840.96;22.10;405
100840.96;22.10;406
100839.88;22.10;407
100839.88;22.10;408
