time;09:26:52
 91748.16;13.95;266
 91748.16;13.95;267
 91747.80;13.94;268
 91744.69;13.94;269
 91745.04;13.94;270
 91746.77;13.95;271
 91745.74;13.95;272
 91746.06;13.95;273
 91747.12;13.95;274
 91747.12;13.95;275
 91747.80;13.95;276
 91748.16;13.96;277
 91748.50;13.96;278
 91748.50;13.96;279
 91747.12;13.96;280
 91745.74;13.96;281
 91747.45;13.96;282
 91748.83;13.96;283
 91748.83;13.96;284
 91748.50;13.97;285
 91747.12;13.97;286
 91745.03;13.97;287
 91746.41;13.97;288
 91746.06;13.97;289
 91745.03;13.96;290
 91746.42;13.95;291
 91747.45;13.95;292
 91747.80;13.95;293
 91747.45;13.95;294
 91747.45;13.95;295
 91748.50;13.95;296
 91746.42;13.94;297
 91746.42;13.93;298
 91747.12;13.93;299
 91746.42;13.93;300
 91746.78;13.92;301
 91747.45;13.91;302
 91748.16;13.91;303
 91746.78;13.91;304
 91746.43;13.91;305
 91748.84;13.90;306
 91748.84;13.90;307
 91748.84;13.90;308
 91748.84;13.90;309
 91747.46;13.90;310
 91747.46;13.90;311
 91747.46;13.90;312
 91747.14;13.90;313
 91748.84;13.90;314
 91747.81;13.91;315
 91748.52;13.91;316
 91747.81;13.92;317
 91746.08;13.91;318
 91748.16;13.92;319
 91748.52;13.92;320
 91747.12;13.93;321
 91748.52;13.93;322
 91748.16;13.93;323
 91746.78;13.93;324
 91746.78;13.93;325
 91749.89;13.93;326
 91748.83;13.93;327
 91748.83;13.93;328
 91749.19;13.93;329
 91747.80;13.93;330
 91746.42;13.93;331
 91746.77;13.94;332
 91746.77;13.94;333
 91745.05;13.93;334
 91746.77;13.94;335
 91746.77;13.94;336
 91746.07;13.94;337
 91746.07;13.94;338
 91747.45;13.94;339
 91747.45;13.94;340
 91748.83;13.94;341
 91747.80;13.94;342
 91747.80;13.94;343
 91747.45;13.94;344
 91747.45;13.94;345
 91746.42;13.94;346
 91744.69;13.94;347
 91744.69;13.94;348
 91742.98;13.94;349
 91745.75;13.94;350
 91744.69;13.94;351
 91745.04;13.94;352
 91743.66;13.94;353
 91743.66;13.94;354
 91742.28;13.94;355
 91744.02;13.95;356
 91742.62;13.95;357
 91743.66;13.94;358
 91742.98;13.94;359
 91742.98;13.94;360
 91742.63;13.94;361
 91744.02;13.94;362
 91743.66;13.93;363
 91743.66;13.93;364
 91743.66;13.93;365
 91744.37;13.94;366
 91746.42;13.94;367
 91745.39;13.95;368
 91744.69;13.95;369
 91744.36;13.95;370
 91745.39;13.96;371
 91743.30;13.96;372
 91744.00;13.97;373
 91742.98;13.97;374
 91742.27;13.97;375
 91744.36;13.98;376
 91744.67;13.98;377
 91744.00;13.98;378
 91743.66;13.97;379
 91744.00;13.97;380
 91742.62;13.96;381
 91743.30;13.95;382
 91744.02;13.95;383
 91743.66;13.94;384
 91743.66;13.94;385
 91743.31;13.94;386
 91741.92;13.94;387
 91742.62;13.95;388
 91744.36;13.95;389
 91744.69;13.95;390
 91744.02;13.95;391
 91744.36;13.95;392
 91744.69;13.95;393
 91744.36;13.95;394
 91745.04;13.94;395
 91744.37;13.94;396
 91743.66;13.93;397
 91742.98;13.93;398
 91744.69;13.92;399
 91743.31;13.92;400
 91746.08;13.92;401
 91744.38;13.92;402
 91745.40;13.93;403
 91744.37;13.93;404
 91744.69;13.93;405
 91746.07;13.93;406
 91744.69;13.93;407
 91745.05;13.93;408
 91745.39;13.94;409
 91745.04;13.94;410
 91746.42;13.94;411
 91744.36;13.95;412
 91745.74;13.95;413
 91747.12;13.95;414
 91747.80;13.94;415
 91745.75;13.94;416
 91746.42;13.93;417
 91747.12;13.93;418
 91746.78;13.93;419
 91746.43;13.92;420
 91746.78;13.91;421
 91745.76;13.90;422
 91747.14;13.90;423
 91746.78;13.90;424
 91748.52;13.90;425
 91747.14;13.90;426
 91746.08;13.90;427
 91746.08;13.90;428
 91745.41;13.91;429
 91746.78;13.91;430
 91745.05;13.91;431
 91745.05;13.91;432
 91746.78;13.91;433
 91744.02;13.91;434
 91744.02;13.91;435
 91745.41;13.91;436
 91745.05;13.91;437
 91746.08;13.90;438
 91745.41;13.91;439
 91745.41;13.91;440
 91744.70;13.91;441
 91743.67;13.92;442
 91745.05;13.92;443
 91744.70;13.91;444
 91744.38;13.91;445
 91746.43;13.91;446
 91746.08;13.90;447
 91746.44;13.90;448
 91746.08;13.89;449
 91745.76;13.89;450
 91746.08;13.89;451
 91744.70;13.89;452
 91744.70;13.89;453
 91745.76;13.89;454
 91745.76;13.89;455
 91743.00;13.89;456
 91743.32;13.89;457
 91745.05;13.90;458
 91744.02;13.90;459
 91744.02;13.90;460
 91745.76;13.90;461
 91744.38;13.90;462
 91741.94;13.90;463
 91743.31;13.90;464
 91744.02;13.91;465
 91744.38;13.91;466
 91743.31;13.91;467
 91746.43;13.92;468
 91744.38;13.92;469
 91745.05;13.93;470
 91744.02;13.93;471
 91744.69;13.93;472
 91746.77;13.94;473
 91745.39;13.94;474
 91745.39;13.94;475
 91745.05;13.93;476
 91743.66;13.93;477
 91743.31;13.93;478
 91742.28;13.93;479
 91740.55;13.93;480
 91742.28;13.93;481
 91743.66;13.93;482
 91743.66;13.93;483
 91744.69;13.93;484
 91742.98;13.93;485
 91743.31;13.93;486
 91741.93;13.93;487
 91739.88;13.93;488
 91741.61;13.92;489
 91741.94;13.91;490
 91742.29;13.91;491
 91742.64;13.90;492
 91743.67;13.90;493
 91744.70;13.89;494
 91744.38;13.89;495
 91742.64;13.89;496
 91742.64;13.89;497
 91744.38;13.89;498
 91744.38;13.89;499
 91743.00;13.89;500
 91743.00;13.89;501
 91741.94;13.89;502
 91743.33;13.88;503
 91742.65;13.88;504
 91744.70;13.87;505
 91745.41;13.87;506
 91743.68;13.87;507
 91742.30;13.87;508
 91743.00;13.86;509
 91742.66;13.86;510
 91740.92;13.86;511
 91742.30;13.86;512
 91742.30;13.86;513
