time;08:07:56
 91658.48;17.21;266
 91657.09;17.21;267
 91657.78;17.20;268
 91657.11;17.20;269
 91658.15;17.20;270
 91661.28;17.20;271
 91660.92;17.20;272
 91660.58;17.19;273
 91660.25;17.19;274
 91659.19;17.19;275
 91658.87;17.19;276
 91658.87;17.19;277
 91659.19;17.19;278
 91661.28;17.20;279
 91659.54;17.20;280
 91659.54;17.20;281
 91659.54;17.20;282
 91659.89;17.20;283
 91659.89;17.20;284
 91660.23;17.20;285
 91659.17;17.20;286
 91658.13;17.21;287
 91659.88;17.21;288
 91658.83;17.21;289
 91660.22;17.21;290
 91660.22;17.21;291
 91660.55;17.21;292
 91662.98;17.22;293
 91661.91;17.22;294
 91662.98;17.22;295
 91662.63;17.22;296
 91662.28;17.22;297
 91661.61;17.21;298
 91660.91;17.21;299
 91661.28;17.20;300
 91660.92;17.20;301
 91659.54;17.20;302
 91660.58;17.19;303
 91660.92;17.20;304
 91661.28;17.20;305
 91660.92;17.20;306
 91661.96;17.19;307
 91659.19;17.19;308
 91659.54;17.20;309
 91659.89;17.20;310
 91659.17;17.20;311
 91660.56;17.20;312
 91659.88;17.21;313
 91659.88;17.21;314
 91659.88;17.21;315
 91661.27;17.21;316
 91659.88;17.21;317
 91660.22;17.21;318
 91660.22;17.21;319
 91661.61;17.21;320
 91661.61;17.21;321
 91660.55;17.21;322
 91660.89;17.22;323
 91662.28;17.22;324
 91662.98;17.22;325
 91662.98;17.22;326
 91662.27;17.23;327
 91662.97;17.23;328
 91661.90;17.23;329
 91662.25;17.24;330
 91660.19;17.23;331
 91658.80;17.23;332
 91661.58;17.23;333
 91659.84;17.23;334
 91659.84;17.23;335
 91659.84;17.23;336
 91661.90;17.23;337
 91662.59;17.24;338
 91662.95;17.24;339
 91659.82;17.24;340
 91661.56;17.24;341
 91660.50;17.24;342
 91661.19;17.25;343
 91662.93;17.25;344
 91663.26;17.25;345
 91662.22;17.26;346
 91662.56;17.26;347
 91663.23;17.26;348
 91662.20;17.27;349
 91660.12;17.27;350
 91660.12;17.27;351
 91660.45;17.27;352
 91660.80;17.28;353
 91662.19;17.28;354
 91660.45;17.27;355
 91660.80;17.28;356
 91663.57;17.28;357
 91662.19;17.28;358
 91663.57;17.28;359
 91663.92;17.28;360
 91662.88;17.28;361
 91662.88;17.28;362
 91661.50;17.28;363
 91662.17;17.29;364
 91661.12;17.29;365
 91662.86;17.29;366
 91662.86;17.29;367
 91662.86;17.29;368
 91661.12;17.29;369
 91661.12;17.29;370
 91661.12;17.29;371
 91661.48;17.29;372
 91662.86;17.29;373
 91662.52;17.29;374
 91660.78;17.29;375
 91661.81;17.28;376
 91662.88;17.28;377
 91662.53;17.28;378
 91661.50;17.28;379
 91661.14;17.28;380
 91661.50;17.28;381
 91661.50;17.28;382
 91660.11;17.28;383
 91661.12;17.29;384
 91661.48;17.29;385
 91661.48;17.29;386
 91661.11;17.30;387
 91662.82;17.30;388
 91662.14;17.31;389
 91662.80;17.31;390
 91662.14;17.32;391
 91662.14;17.32;392
 91662.50;17.32;393
 91661.78;17.32;394
 91661.41;17.33;395
 91662.11;17.34;396
 91660.72;17.34;397
 91661.39;17.34;398
 91661.75;17.34;399
 91661.39;17.34;400
 91662.78;17.34;401
 91663.13;17.34;402
 91662.09;17.35;403
 91661.05;17.35;404
 91662.77;17.35;405
 91662.42;17.36;406
 91663.81;17.36;407
 91663.81;17.36;408
 91664.48;17.36;409
 91663.09;17.36;410
 91663.09;17.36;411
 91664.48;17.36;412
 91663.09;17.36;413
 91663.80;17.37;414
 91661.70;17.37;415
 91665.17;17.38;416
 91663.06;17.38;417
 91663.42;17.39;418
 91663.42;17.39;419
 91661.67;17.38;420
 91662.03;17.39;421
 91663.42;17.39;422
 91665.16;17.39;423
 91663.77;17.39;424
 91664.80;17.39;425
 91663.77;17.39;426
 91663.77;17.39;427
 91663.77;17.39;428
 91662.03;17.39;429
 91661.67;17.38;430
 91662.72;17.38;431
 91662.39;17.38;432
 91664.10;17.38;433
 91663.78;17.38;434
 91663.06;17.38;435
 91661.67;17.38;436
 91662.03;17.39;437
 91660.64;17.39;438
 91659.25;17.39;439
 91659.59;17.39;440
 91659.59;17.39;441
 91662.70;17.39;442
 91661.31;17.39;443
 91661.31;17.39;444
 91662.70;17.39;445
 91661.66;17.39;446
 91660.27;17.39;447
 91658.19;17.40;448
 91660.26;17.40;449
 91661.64;17.40;450
 91661.64;17.40;451
 91663.02;17.41;452
 91663.02;17.41;453
 91661.98;17.42;454
 91661.98;17.42;455
 91661.28;17.41;456
 91661.28;17.41;457
 91662.34;17.41;458
 91660.95;17.41;459
 91660.26;17.40;460
 91660.97;17.40;461
 91660.62;17.40;462
 91660.62;17.40;463
 91659.58;17.40;464
 91658.87;17.40;465
 91662.00;17.41;466
 91662.67;17.41;467
 91661.28;17.41;468
 91660.59;17.42;469
 91661.62;17.41;470
 91663.02;17.41;471
 91662.67;17.41;472
 91662.34;17.41;473
 91662.00;17.41;474
 91663.73;17.41;475
 91663.38;17.41;476
 91662.00;17.41;477
 91660.60;17.41;478
 91662.00;17.41;479
 91663.38;17.41;480
 91660.26;17.40;481
 91658.87;17.40;482
 91660.26;17.40;483
 91660.60;17.41;484
 91659.22;17.41;485
 91662.67;17.41;486
 91660.59;17.42;487
 91660.94;17.42;488
 91661.61;17.42;489
 91664.39;17.42;490
 91664.73;17.43;491
 91663.34;17.43;492
 91661.95;17.43;493
 91662.31;17.43;494
 91662.63;17.43;495
 91661.59;17.43;496
 91659.84;17.44;497
 91660.53;17.45;498
 91659.82;17.45;499
 91661.20;17.45;500
 91660.89;17.45;501
 91661.20;17.45;502
 91659.82;17.45;503
 91659.82;17.45;504
 91661.20;17.45;505
 91660.89;17.45;506
 91659.82;17.45;507
 91661.20;17.45;508
 91660.89;17.45;509
 91661.20;17.45;510
 91661.20;17.45;511
 91662.95;17.45;512
 91662.95;17.45;513
 91663.30;17.46;514
 91661.56;17.45;515
 91662.95;17.45;516
 91661.56;17.45;517
 91662.95;17.45;518
 91664.34;17.45;519
 91662.95;17.45;520
 91661.20;17.45;521
 91659.82;17.45;522
 91661.91;17.46;523
 91659.80;17.46;524
 91661.19;17.46;525
 91659.80;17.46;526
 91660.88;17.46;527
 91661.91;17.46;528
 91660.52;17.46;529
 91660.52;17.46;530
 91660.88;17.46;531
 91662.26;17.46;532
 91662.26;17.46;533
 91662.26;17.46;534
 91660.88;17.46;535
 91662.26;17.46;536
 91661.19;17.46;537
 91660.88;17.46;538
 91661.89;17.47;539
 91661.55;17.46;540
 91662.93;17.46;541
 91661.89;17.47;542
 91658.77;17.46;543
 91659.12;17.47;544
 91660.50;17.47;545
 91662.24;17.47;546
 91660.85;17.47;547
 91661.17;17.47;548
 91660.14;17.47;549
 91659.78;17.47;550
 91659.78;17.47;551
 91662.56;17.47;552
 91662.56;17.47;553
 91661.17;17.47;554
 91661.17;17.47;555
 91661.17;17.47;556
 91662.24;17.47;557
 91661.89;17.47;558
 91662.24;17.47;559
 91663.28;17.47;560
 91662.24;17.47;561
 91662.24;17.47;562
 91661.89;17.47;563
 91662.24;17.47;564
 91660.85;17.47;565
 91660.85;17.47;566
 91660.85;17.47;567
 91662.56;17.47;568
 91661.52;17.47;569
 91663.27;17.48;570
 91661.88;17.48;571
 91662.55;17.48;572
 91661.16;17.48;573
 91662.90;17.48;574
 91662.55;17.48;575
 91662.90;17.48;576
 91661.51;17.48;577
 91661.51;17.48;578
 91662.90;17.48;579
 91661.86;17.49;580
 91661.86;17.49;581
 91661.86;17.49;582
 91662.18;17.49;583
 91659.75;17.49;584
 91661.14;17.49;585
 91662.88;17.49;586
 91662.88;17.49;587
 91662.53;17.49;588
 91663.92;17.49;589
 91663.56;17.49;590
 91663.25;17.49;591
 91662.22;17.48;592
 91662.22;17.48;593
