time;10:33:04
 81594.80;26.01;0
 91741.25;15.27;1
 91740.55;15.27;2
 91743.30;15.28;3
 91743.65;15.29;4
 91744.32;15.30;5
 91742.62;15.30;6
 91744.00;15.30;7
 91743.64;15.30;8
 91744.67;15.30;9
 91744.67;15.30;10
 91746.06;15.30;11
 91744.67;15.30;12
 91745.02;15.30;13
 91744.31;15.31;14
 91744.66;15.31;15
 91746.73;15.32;16
 91745.69;15.32;17
 91745.02;15.32;18
 91744.66;15.32;19
 91745.02;15.32;20
 91745.02;15.32;21
 91746.39;15.32;22
 91746.05;15.32;23
 91746.72;15.33;24
 91745.69;15.33;25
 91747.06;15.33;26
 91742.91;15.33;27
 91744.66;15.33;28
 91743.62;15.33;29
 91745.00;15.33;30
 91746.03;15.33;31
 91747.77;15.33;32
 91746.39;15.33;33
 91746.39;15.33;34
 91745.69;15.33;35
 91745.33;15.33;36
 91743.62;15.32;37
 91743.95;15.33;38
 91745.33;15.33;39
 91747.06;15.33;40
 91746.72;15.33;41
 91747.78;15.32;42
 91747.08;15.32;43
 91745.69;15.32;44
 91743.27;15.32;45
 91746.39;15.32;46
 91745.33;15.33;47
 91747.06;15.33;48
 91746.03;15.33;49
 91746.39;15.33;50
 91746.39;15.33;51
 91746.03;15.34;52
 91745.67;15.35;53
 91746.69;15.36;54
 91749.46;15.36;55
 91746.69;15.36;56
 91745.67;15.35;57
 91747.06;15.34;58
 91746.70;15.34;59
 91743.94;15.34;60
 91744.30;15.34;61
 91745.33;15.34;62
 91745.33;15.34;63
 91746.39;15.33;64
 91745.00;15.33;65
 91744.30;15.33;66
 91745.02;15.32;67
 91747.42;15.32;68
 91744.31;15.32;69
 91745.02;15.31;70
 91743.63;15.31;71
 91744.31;15.32;72
 91746.05;15.32;73
 91746.05;15.32;74
 91747.42;15.32;75
 91747.08;15.32;76
 91746.73;15.32;77
 91745.34;15.32;78
 91745.34;15.32;79
 91744.31;15.32;80
 91744.66;15.32;81
 91745.69;15.32;82
 91745.69;15.32;83
 91747.08;15.32;84
 91747.08;15.32;85
 91747.42;15.32;86
 91747.08;15.32;87
 91746.73;15.32;88
 91745.34;15.32;89
 91743.96;15.32;90
 91744.66;15.31;91
