time;19:45:00
 100554.42;21.06;267
 100547.77;21.07;268
 100544.34;21.07;269
 100532.36;21.07;270
 100522.56;21.07;271
 100515.20;21.06;272
 100505.01;21.06;273
 100496.22;21.06;274
 100485.39;21.06;275
 100477.73;21.07;276
 100474.68;21.07;277
 100469.08;21.07;278
 100464.22;21.08;279
 100458.33;21.09;280
 100446.49;21.09;281
 100440.89;21.09;282
 100433.89;21.09;283
 100430.42;21.10;284
 100418.69;21.11;285
 100411.02;21.12;286
 100403.39;21.12;287
 100387.98;21.12;288
 100380.70;21.13;289
 100376.88;21.13;290
 100368.83;21.13;291
 100355.59;21.14;292
 100344.38;21.14;293
 100334.95;21.14;294
 100331.11;21.14;295
 100325.89;21.15;296
 100318.49;21.14;297
 100309.73;21.14;298
 100298.14;21.14;299
 100293.55;21.14;300
 100289.35;21.14;301
 100284.13;21.14;302
 100275.06;21.14;303
 100264.24;21.15;304
 100258.64;21.15;305
 100251.62;21.15;306
 100246.41;21.15;307
 100241.82;21.15;308
 100234.44;21.14;309
 100231.63;21.14;310
 100233.42;21.15;311
 100234.19;21.15;312
 100234.55;21.15;313
 100236.33;21.16;314
 100233.80;21.15;315
 100231.91;21.14;316
 100229.39;21.13;317
 100225.47;21.12;318
 100220.14;21.11;319
 100216.95;21.11;320
 100213.38;21.11;321
 100206.66;21.10;322
 100201.96;21.09;323
 100202.91;21.07;324
 100204.83;21.06;325
 100203.33;21.05;326
 100205.00;21.04;327
 100205.28;21.03;328
 100205.53;21.03;329
 100205.91;21.03;330
 100207.59;21.02;331
 100209.62;21.02;332
 100214.48;21.01;333
 100216.91;21.01;334
 100217.57;21.00;335
 100220.73;21.01;336
 100218.59;21.00;337
 100216.06;20.99;338
 100213.16;20.98;339
 100207.80;20.98;340
 100203.88;20.97;341
 100201.73;20.96;342
 100194.34;20.96;343
 100185.56;20.96;344
 100178.56;20.96;345
 100171.55;20.96;346
 100161.75;20.96;347
 100154.75;20.96;348
 100146.34;20.96;349
 100143.93;20.96;350
 100139.24;20.95;351
 100136.05;20.95;352
 100136.05;20.95;353
 100131.22;20.95;354
 100124.95;20.96;355
 100124.32;20.96;356
 100121.91;20.96;357
 100120.75;20.96;358
 100121.03;20.95;359
 100121.31;20.94;360
 100121.59;20.93;361
 100117.67;20.93;362
 100120.82;20.93;363
 100124.01;20.93;364
 100128.59;20.93;365
 100134.83;20.93;366
 100137.62;20.93;367
 100140.81;20.93;368
 100142.70;20.94;369
 100145.12;20.94;370
 100144.73;20.94;371
 100148.20;20.93;372
 100152.30;20.92;373
 100152.92;20.92;374
 100158.17;20.92;375
 100161.33;20.92;376
 100162.73;20.92;377
 100163.78;20.92;378
 100162.38;20.92;379
 100158.53;20.92;380
 100153.21;20.91;381
 100152.47;20.91;382
 100154.50;20.90;383
 100154.02;20.89;384
 100153.91;20.88;385
 100154.19;20.87;386
 100156.61;20.87;387
 100155.87;20.87;388
 100157.27;20.87;389
 100157.65;20.87;390
 100156.25;20.87;391
 100154.56;20.88;392
 100152.51;20.88;393
 100150.48;20.88;394
 100149.18;20.89;395
 100147.88;20.90;396
 100146.97;20.92;397
 100144.62;20.93;398
 100141.94;20.94;399
 100140.53;20.94;400
 100136.34;20.94;401
 100134.93;20.94;402
 100131.78;20.94;403
 100128.21;20.93;404
 100125.03;20.93;405
 100115.88;20.92;406
 100109.52;20.92;407
 100103.17;20.91;408
 100095.79;20.91;409
 100083.56;20.91;410
 100079.37;20.91;411
 100077.59;20.91;412
 100074.41;20.91;413
 100074.68;20.90;414
 100075.34;20.90;415
 100074.30;20.90;416
 100070.58;20.91;417
 100064.34;20.92;418
 100060.88;20.92;419
 100058.84;20.93;420
 100049.05;20.93;421
 100044.46;20.92;422
 100036.69;20.92;423
 100028.95;20.91;424
 100020.45;20.90;425
 100016.88;20.90;426
 100011.94;20.89;427
 100007.36;20.89;428
 99995.42;20.89;429
 99989.44;20.88;430
 99979.63;20.88;431
 99970.46;20.88;432
 99957.51;20.88;433
 99941.34;20.87;434
 99928.73;20.87;435
 99904.55;20.87;436
 99887.75;20.87;437
 99871.98;20.87;438
 99855.19;20.87;439
 99835.20;20.87;440
 99820.18;20.87;441
 99807.58;20.87;442
 99790.02;20.86;443
 99779.09;20.86;444
 99764.70;20.85;445
 99753.12;20.85;446
 99731.39;20.85;447
 99719.81;20.84;448
 99708.89;20.84;449
 99699.72;20.83;450
 99685.62;20.82;451
